place_id,place_name,category(작성),preference_tags(작성),avoid_tags(작성),summary,embedding_text(원본 / 보완할 내용),evidence_text_1,evidence_text_2,evidence_text_3,evidence_text_4,evidence_text_5
GIMHAE_001,수로왕릉,"역사,사적,공원,문화유적","역사,전통,가야,산책,고즈넉함,문화,왕릉,가족","액티비티,번화가,쇼핑,야간활동","금관가야 시조 수로왕의 능으로, 국가지정문화재 사적으로 관리되는 김해의 대표 역사 유적입니다.",수로왕릉 김해 금관가야 사적 왕릉공원 / 홍살문 숭선전 가야역사 고즈넉 도심산책로,"가락국(금관가야) 시조 수로왕(재위 42~199)의 무덤으로, 1963년 사적 제73호로 지정되었으며 높이 약 5m의 원형 봉토분입니다.","너른 왕릉공원과 홍살문, 숭선전 등 부속 건물이 어우러져 고요하고 장엄한 왕가의 정취를 자아냅니다.","왕릉공원 산책, 숭선전 관람, 인근 수로왕비릉·국립김해박물관 연계 답사에 좋습니다.","원형 봉토분과 신도비·문무인석 등 석조물, 숭선전이 대표 볼거리입니다.","가야 역사에 관심 있는 여행객에게 특히 맞으며, 도보권의 대성동고분군·국립김해박물관과 묶어 반나절 코스로 좋습니다."
GIMHAE_002,수로왕비릉,"역사,설화,문화유적,산책","역사,설화,가야,신비로움,산책,전통,조용함,사색","액티비티,번화가,쇼핑,도심","수로왕의 왕비 허황옥의 능으로, 수로왕릉과 함께 금관가야 왕실 유적을 이룹니다.",수로왕비릉 허황옥 김해 가야 왕릉 / 파사석탑 구지봉 가야설화 고요한산책 역사탐방,"인도 아유타국에서 왔다고 전하는 허황옥 왕비의 무덤으로, 수로왕릉과 비슷한 시기 조성된 원형 봉토분으로 알려져 있습니다.",구지봉 자락의 조용한 능역이 이국의 왕비 설화와 어우러져 신비로운 분위기를 자아냅니다.,"능역 산책, 구지봉 연계 답사, 가야 건국 설화 탐방에 좋습니다.",파사석탑 등 허황옥 도래 설화와 관련된 유적이 대표 볼거리입니다.,"역사와 설화에 관심 있는 여행객에게 특히 맞으며, 수로왕릉과 도보로 연계됩니다."
GIMHAE_003,대성동고분군,"역사,고분군,사적,박물관","역사,가야,고분,학습,교육,산책,가족,유적답사","액티비티,번화가,쇼핑,자연휴양",금관가야 지배층의 대형 고분들이 밀집한 국가지정문화재 사적입니다.,대성동고분군 김해 가야 고분 사적 / 대성동박물관 청동기 철기 역사교육 도심구릉산책,"1~5세기 금관가야 지배계층의 무덤군으로, 청동기·철기 유물이 다수 출토되어 가야사 연구의 핵심 유적으로 꼽힙니다.",낮은 구릉 위에 펼쳐진 고분들이 도심 한가운데서도 아득한 고대의 시간을 느끼게 하는 차분한 분위기를 줍니다.,"고분군 산책, 대성동고분박물관 관람에 좋습니다.",출토 유물을 전시한 대성동고분박물관이 인접해 함께 관람하기 좋습니다.,가야사에 관심 있는 여행객과 역사 학습을 원하는 가족 단위 여행객에게 특히 맞습니다.
GIMHAE_004,국립김해박물관,"문화,박물관,역사,실내관광","실내,박물관,역사,가야유물,학습,교육,전시,가족","야외활동,액티비티,등산,자연경관","가야 문화를 전문으로 다루는 국립박물관으로, 가야 유물 연구와 전시의 중심 기관입니다.",국립김해박물관 가야 유물 전시 역사 / 철기문화 상설전시 역사탐방 실내체험 가족학습,"가야 각국의 토기·철기·장신구 등을 종합 전시하는 국립박물관으로, 영남권 가야 유적 출토품을 폭넓게 소장하고 있습니다.",정갈한 전시 동선을 따라가다 보면 잊혀졌던 가야 문명에 대한 진지한 호기심이 차분히 차오릅니다.,"상설전시 관람, 가야 문화 학습, 대성동고분군 연계 답사에 좋습니다.",가야의 철기 문화를 보여주는 유물들과 기획전시가 대표 볼거리입니다.,역사 학습 여행객과 아이를 동반한 가족에게 특히 맞습니다.
GIMHAE_005,봉황동유적(봉황대),"역사,사적,패총,공원","역사,생활사,유적답사,산책,도심공원,소박함,한적함","액티비티,번화가,쇼핑,실내전시",가야 시대 생활상을 보여주는 패총과 마을 유적이 남아 있는 사적지입니다.,봉황동유적 봉황대 김해 가야 패총 생활유적 / 복원주거지 도심언덕 한적한산책 역사답사,"회현리 패총을 중심으로 한 가야 시대 생활 유적으로, 국가지정문화재 사적으로 지정되어 발굴 성과가 이어지고 있습니다.",야트막한 언덕에 조성된 유적공원이 도심 속에서도 소박하고 한적한 정취를 자아냅니다.,"유적공원 산책, 가야 생활사 학습에 좋습니다.",복원된 가야 시대 주거지와 전망 언덕이 대표 볼거리입니다.,역사 유적 답사를 좋아하는 여행객에게 특히 맞습니다.
GIMHAE_006,클레이아크김해미술관,"예술,미술관,건축,체험","예술,건축,도자체험,사진,포토존,전시,이국적,데이트","등산,액티비티,번화가,자연생태","도자와 건축을 결합한 독특한 테마의 미술관으로, 돔 모양 전시관이 인상적입니다.",클레이아크김해미술관 도자건축 돔하우스 전시 / 큐브전시관 도자체험 포토존 현대미술 실내데이트,"도자를 건축 재료로 활용한 세계 유일의 도자건축 전문 미술관으로, 큐브전시관·돔하우스 등 독특한 건축물로 구성되어 있습니다.",알록달록한 타일과 곡선의 돔 구조물이 이국적이고 예술적인 분위기를 자아냅니다.,"전시 관람, 도자 체험 프로그램 참여, 사진 촬영에 좋습니다.",타일로 뒤덮인 돔하우스 외관이 대표 볼거리입니다.,미술·건축에 관심 있는 여행객과 사진 촬영을 즐기는 이들에게 특히 맞습니다.
GIMHAE_007,김해가야테마파크,"체험,테마파크,가족,역사","체험,테마파크,가족,어린이,전통놀이,사진,활쏘기,나들이","조용함,사색,등산,자연휴양",가야 역사를 체험형 콘텐츠로 재구성한 테마파크입니다.,김해가야테마파크 가야 체험 테마파크 가족여행 / 전통활쏘기 가야마을 궁성 포토존,"가야 시대 생활상과 건국 설화를 재현한 체험형 테마파크로, 전통 활쏘기 등 체험 프로그램을 운영합니다.",복원된 가야 마을과 성곽이 어우러져 마치 고대로 시간여행을 떠난 듯한 분위기를 줍니다.,"전통 체험, 가야 마을 산책, 사진 촬영에 좋습니다.",재현된 가야 궁성과 체험 프로그램이 대표 볼거리입니다.,아이를 동반한 가족 여행객에게 특히 맞습니다.
GIMHAE_008,연지공원,"자연관광,공원,호수,산책","산책,호수,분수,야경,피크닉,휴식,도심,가족,데이트","등산,역사답사,실내전시,액티비티",호수와 분수를 갖춘 도심 속 대표 휴식 공원입니다.,연지공원 김해 호수공원 분수 산책 / 음악분수 도심산책로 야경 피크닉 힐링쉼터 가족데이트,"김해 도심에 자리한 호수공원으로, 분수와 산책로, 체육시설을 갖춘 시민 휴식 공간입니다.",저녁 무렵 분수와 조명이 호수에 비치는 풍경이 여유롭고 평온한 도심 속 쉼을 선사합니다.,"호수 둘레 산책, 분수 감상, 야간 조깅에 좋습니다.",호수 위로 솟는 대형 분수가 대표 볼거리입니다.,가벼운 도심 산책을 원하는 여행객과 지역 주민에게 특히 맞습니다.
GIMHAE_009,분산성,"역사,산성,전망,등산","전망,일몰,노을,산성,트레킹,사진,풍경,조망,답사","실내활동,쇼핑,번화가,평지산책",산 정상에서 김해평야를 굽어볼 수 있는 삼국시대 산성 유적입니다.,분산성 김해 산성 전망 조망 / 삼국시대산성 노을명소 일몰 뷰포인트 탁트인전망 성벽트레킹 해은사 인생샷,"가야·신라시대에 축조된 것으로 추정되는 석축 산성으로, 임진왜란 당시 재축된 기록이 남아 있습니다.",성벽 위에서 내려다보는 김해평야와 낙동강 물줄기가 탁 트인 시원함을 선사합니다.,"산성 둘레길 걷기, 전망 감상, 해은사 연계 답사에 좋습니다.",복원된 성벽 구간과 정상부 전망 포인트가 대표 볼거리입니다.,전망과 가벼운 등산을 좋아하는 여행객에게 특히 맞습니다.
GIMHAE_010,은하사,"종교,사찰,산사,자연관광","사찰,고찰,조용함,산사,사색,힐링,숲길,신어산","액티비티,번화가,쇼핑,도심","신어산 자락에 자리한 고찰로, 여러 영화의 촬영지로도 알려진 곳입니다.",은하사 김해 신어산 고찰 영화촬영지 / 대웅전 산사체험 울창한숲 고즈넉 힐링사찰,"가야시대 창건 설화가 전하는 고찰로, 신어산 중턱에 자리해 전통 산사의 정취를 간직하고 있습니다.",울창한 숲에 둘러싸인 경내가 고요하고 정갈한 산사 특유의 분위기를 자아냅니다.,"사찰 경내 산책, 신어산 등산로 연계, 영화 촬영지 답사에 좋습니다.",고풍스러운 대웅전과 숲길이 대표 볼거리입니다.,고즈넉한 산사 여행을 원하는 이들에게 특히 맞습니다.
GIMHAE_011,신어산 철쭉축제,"자연관광,축제,등산,꽃","봄꽃,철쭉,등산,축제,꽃구경,풍경,체험,시즌여행","실내활동,쇼핑,도심,야간활동",매년 5월 신어산 철쭉 군락지 일원에서 열리는 김해의 대표 봄꽃 축제입니다.,신어산철쭉축제 김해 봄꽃 등산축제 / 5월여행 만개군락지 묘목체험 봄산행 꽃구경,"2003년 시작되어 매년 5월 삼안동 자연보호환경보존협의회 주관으로 열리는 축제로, 2026년 제22회를 맞았으며 은하사 주차장 옆 공원에서 시작해 정상 철쭉 군락지까지 이어집니다.",정상까지 이어지는 등반길에 진분홍빛으로 만개한 철쭉 군락이 봄산행의 설렘을 한껏 끌어올립니다.,"철쭉 군락지 등반, 묘목 심기 체험, 바람개비 만들기 체험에 좋습니다.",은하사 인근에서 정상 철쭉 군락지까지 이어지는 등반 코스와 축제 행사가 대표 볼거리입니다.,"매년 5월 개최 시기에만 즐길 수 있으며, 봄꽃 산행을 원하는 여행객에게 특히 맞습니다."
